key,value
LOF0_chop,0.8333333333333334
ALLF1_pred,0.826923076923077
LOF0_pred,0.8012820512820513
LOF1_cyclop,0.7948717948717949
SDIP1_dox,0.75
LOF1_pred,0.7435897435897436
LOF1_vinc,0.7307692307692307
DSF_cyclop,0.717948717948718
ALLF1_cyclop,0.717948717948718
ALLF0_chop,0.717948717948718
HI1_cyclop,0.717948717948718
DBSB_dox,0.7051282051282052
MID0_chop,0.6987179487179487
HI1_pred,0.6987179487179487
SDIP2_chop,0.6923076923076923
MID1_pred,0.6923076923076923
SDIP2_vinc,0.6858974358974359
DNY_cyclop,0.6666666666666667
CDIP1_dox,0.6602564102564102
DDR_pred,0.6602564102564102
LOF0_dox,0.6474358974358975
DNSD_cyclop,0.6410256410256411
CDIP2_vinc,0.641025641025641
MID2_dox,0.6217948717948718
MID1_cyclop,0.6153846153846154
CDIP2_cyclop,0.6153846153846154
HI2_dox,0.6153846153846153
DBSB_vinc,0.608974358974359
MID2_cyclop,0.6089743589743589
DNY_pred,0.6025641025641026
LOF0_vinc,0.5897435897435898
DDR_dox,0.5833333333333334
ALLF1_vinc,0.5833333333333334
DSF_pred,0.576923076923077
DDR_cyclop,0.5769230769230769
ALLF2_cyclop,0.5641025641025641
CDIP0_chop,0.5576923076923077
DDR_vinc,0.5512820512820513
ALLF2_dox,0.5512820512820513
CDIP1_pred,0.5512820512820513
DHW_pred,0.5512820512820513
ALLF2_vinc,0.5512820512820513
DSF_dox,0.5384615384615384
LOF0_cyclop,0.532051282051282
CDIP0_dox,0.532051282051282
DSF_chop,0.5256410256410257
DHW_dox,0.5256410256410257
CDIP2_chop,0.5128205128205129
DDR_chop,0.5128205128205129
ALLF0_dox,0.5128205128205128
SDIP2_pred,0.5128205128205128
MID0_dox,0.5
DSF_vinc,0.5
HI1_vinc,0.5
HI1_chop,0.4807692307692308
DNY_vinc,0.4743589743589744
ALLF1_dox,0.47435897435897434
LOF2_pred,0.46153846153846156
DHW_cyclop,0.4551282051282051
CDIP2_pred,0.41025641025641024
ALLF2_chop,0.40384615384615385
SDIP1_pred,0.39743589743589747
CDIP0_vinc,0.38461538461538464
LOF2_vinc,0.36538461538461536
CDIP0_pred,0.358974358974359
CDIP0_cyclop,0.3525641025641026
DNY_dox,0.33974358974358976
LOF2_chop,0.33974358974358976
SDIP0_vinc,0.3076923076923077
HI0_vinc,0.3076923076923077
SDIP1_cyclop,0.3012820512820513
LOF1_dox,0.28205128205128205
DNSD_dox,0.2692307692307692
HI0_dox,0.2564102564102564
SDIP1_vinc,0.2564102564102564
CDIP1_vinc,0.2435897435897436
DHW_vinc,0.24358974358974358
SDIP0_chop,0.20512820512820515
SDIP0_pred,0.20512820512820512
SDIP0_dox,0.15384615384615383
CDIP1_cyclop,0.11538461538461539
